R	53.6635	-6.23271	A134	07 Oct 2020	A134\n19:00 - Dublin Connolly to Belfast (5 mins late)\nDeparted Mosney next stop Drogheda	Northbound
R	53.712	-6.33538	D820	07 Oct 2020	D820\n18:00 - Dublin Pearse to Dundalk (5 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A912	07 Oct 2020	A912\n17:10 - Dublin Connolly to Sligo (2 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A133	07 Oct 2020	A133\n18:05 - Belfast to Dublin Connolly (1 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A915	07 Oct 2020	A915\n19:00 - Sligo to Dublin Connolly (2 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.2043	-6.10046	E250	07 Oct 2020	E250\n18:10 - Malahide to Bray(0 mins late)\nTERMINATED Bray at 19:28	Southbound
T	53.3433	-6.24829	P675	07 Oct 2020	P675\n18:40 - Maynooth to Dublin Pearse(1 mins late)\nTERMINATED Dublin Pearse at 19:27	Southbound
T	53.378	-6.58993	D931	07 Oct 2020	D931\n18:34 - Dublin Pearse to Maynooth(4 mins late)\nTERMINATED Maynooth at 19:26	Northbound
T	53.3891	-6.07401	E938	07 Oct 2020	E938\n18:04 - Greystones to Howth(1 mins late)\nTERMINATED Howth at 19:30	Northbound
T	53.4273	-7.93683	A721	07 Oct 2020	A721\n18:10 - Galway to Athlone(4 mins late)\nTERMINATED Athlone at 19:43	To Athlone
T	53.4349	-6.46898	D316	07 Oct 2020	D316\n19:00 - Docklands to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 19:34	Northbound
T	53.4509	-6.15649	E837	07 Oct 2020	E837\n18:05 - Bray to Malahide(5 mins late)\nTERMINATED Malahide at 19:27	Northbound
T	53.7243	-7.79574	D925	07 Oct 2020	D925\n17:17 - Dublin Connolly to Longford(-5 mins late)\nTERMINATED Longford at 19:30	Northbound
