R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
T	53.0371	-7.30086	D215	07 Oct 2020	D215\n18:25 - Dublin Heuston to Portlaoise(-1 mins late)\nTERMINATED Portlaoise at 19:35	To Portlaoise
T	53.2043	-6.10046	E251	07 Oct 2020	E251\n18:20 - Howth to Bray(2 mins late)\nTERMINATED Bray at 19:37	Southbound
T	53.3397	-6.23773	P418	07 Oct 2020	P418\n18:55 - Hazelhatch to Grand Canal Dock(1 mins late)\nTERMINATED Grand Canal Dock at 19:38	Northbound
T	53.3531	-6.24591	P758	07 Oct 2020	P758\n19:00 - Maynooth to Dublin Connolly(-3 mins late)\nTERMINATED Dublin Connolly at 19:35	Southbound
T	53.3531	-6.24591	P758	07 Oct 2020	P758\n19:00 - Maynooth to Dublin Connolly(-3 mins late)\nTERMINATED Dublin Connolly at 19:35	Southbound
T	53.3531	-6.24591	P758	07 Oct 2020	P758\n19:00 - Maynooth to Dublin Connolly(-3 mins late)\nTERMINATED Dublin Connolly at 19:35	Southbound
T	53.3531	-6.24591	P758	07 Oct 2020	P758\n19:00 - Maynooth to Dublin Connolly(-3 mins late)\nTERMINATED Dublin Connolly at 19:35	Southbound
